,date,open,close,high,low,volume,code
0,2001-08-27,-234.719,-234.534,-234.138,-235.014,406318.0,600519
1,2001-08-28,-234.634,-234.301,-234.276,-234.701,129647.79,600519
2,2001-08-29,-234.28,-234.387,-234.276,-234.436,53252.75,600519
3,2001-08-30,-234.404,-234.259,-234.186,-234.454,48013.06,600519
4,2001-08-31,-234.25,-234.275,-234.166,-234.312,23231.48,600519
5,2001-09-03,-234.241,-234.278,-234.175,-234.303,22112.09,600519
6,2001-09-04,-234.275,-234.195,-234.084,-234.298,37006.77,600519
7,2001-09-05,-234.168,-234.198,-234.113,-234.239,26066.95,600519
8,2001-09-06,-234.214,-234.33,-234.193,-234.363,28997.03,600519
9,2001-09-07,-234.365,-234.511,-234.285,-234.516,31552.25,600519
10,2001-09-10,-234.561,-234.33,-234.303,-234.63,18878.89,600519
11,2001-09-11,-234.312,-234.403,-234.285,-234.419,11390.81,600519
12,2001-09-12,-234.573,-234.458,-234.419,-234.578,25045.19,600519
13,2001-09-13,-234.452,-234.474,-234.401,-234.507,10986.68,600519
14,2001-09-14,-234.452,-234.401,-234.365,-234.49,7672.83,600519
15,2001-09-17,-234.44,-234.482,-234.403,-234.543,8983.97,600519
16,2001-09-18,-234.475,-234.41,-234.356,-234.481,10773.26,600519
17,2001-09-19,-234.401,-234.291,-234.291,-234.443,8650.53,600519
18,2001-09-20,-234.294,-234.346,-234.267,-234.365,11173.35,600519
19,2001-09-21,-234.404,-234.443,-234.347,-234.454,7879.72,600519
20,2001-09-24,-234.443,-234.445,-234.385,-234.454,4068.6,600519
21,2001-09-25,-234.404,-234.413,-234.358,-234.445,3488.45,600519
22,2001-09-26,-234.435,-234.44,-234.369,-234.454,4956.26,600519
23,2001-09-27,-234.44,-234.33,-234.28,-234.454,8778.04,600519
24,2001-09-28,-234.294,-234.26,-234.241,-234.365,17088.47,600519
25,2001-10-08,-234.276,-234.351,-234.244,-234.41,6552.17,600519
26,2001-10-09,-234.347,-234.223,-234.188,-234.347,9558.52,600519
27,2001-10-10,-234.223,-234.436,-234.2,-234.449,17548.69,600519
28,2001-10-11,-234.452,-234.498,-234.365,-234.516,12306.84,600519
29,2001-10-12,-234.472,-234.454,-234.339,-234.801,20010.7,600519
30,2001-10-15,-234.472,-234.578,-234.454,-234.65,9755.31,600519
31,2001-10-16,-234.609,-234.667,-234.49,-234.676,8319.91,600519
32,2001-10-17,-234.669,-234.774,-234.666,-234.827,12507.68,600519
33,2001-10-18,-234.774,-234.802,-234.692,-234.825,4983.46,600519
34,2001-10-19,-234.809,-234.898,-234.783,-234.985,15687.54,600519
35,2001-10-22,-234.934,-235.024,-234.863,-235.04,9760.65,600519
36,2001-10-23,-234.454,-234.442,-234.442,-234.63,40598.24,600519
37,2001-10-24,-234.315,-234.479,-234.312,-234.612,40682.39,600519
38,2001-10-25,-234.507,-234.653,-234.49,-234.657,16036.86,600519
39,2001-10-26,-234.685,-234.632,-234.614,-234.735,9002.2,600519
40,2001-10-29,-234.653,-234.578,-234.52,-234.653,4587.86,600519
41,2001-10-30,-234.587,-234.632,-234.545,-234.646,3484.17,600519
42,2001-10-31,-234.632,-234.623,-234.616,-234.667,4762.47,600519
43,2001-11-01,-234.623,-234.53,-234.518,-234.641,6643.03,600519
