,date,open,close,high,low,volume,code
0,2015-01-05,-49.769,-38.041,-36.478,-50.614,94515.0,600519
1,2015-01-06,-40.332,-42.305,-38.005,-43.95,55020.0,600519
2,2015-01-07,-43.932,-46.75,-40.787,-49.432,54797.0,600519
3,2015-01-08,-45.787,-47.823,-45.314,-49.296,40525.0,600519
4,2015-01-09,-49.059,-49.141,-44.178,-49.323,53982.0,600519
5,2015-01-12,-49.423,-52.669,-47.069,-54.459,49914.0,600519
6,2015-01-13,-52.15,-54.078,-50.75,-54.332,36708.0,600519
7,2015-01-14,-53.969,-55.623,-52.605,-57.714,52403.0,600519
8,2015-01-15,-54.978,-52.996,-52.696,-56.259,48585.0,600519
9,2015-01-16,-52.878,-52.959,-51.241,-53.078,39978.0,600519
10,2015-01-19,-57.605,-62.623,-55.605,-66.269,64679.0,600519
11,2015-01-20,-62.132,-60.259,-58.059,-64.878,61022.0,600519
12,2015-01-21,-60.087,-56.369,-55.878,-61.059,52674.0,600519
13,2015-01-22,-56.359,-57.396,-54.55,-58.514,38254.0,600519
14,2015-01-23,-58.405,-57.587,-55.532,-58.414,33084.0,600519
15,2015-01-26,-56.969,-55.969,-55.332,-57.559,35649.0,600519
16,2015-01-27,-55.95,-58.414,-55.95,-60.332,41883.0,600519
17,2015-01-28,-59.423,-60.814,-58.15,-60.969,30680.0,600519
18,2015-01-29,-61.969,-62.014,-60.332,-63.059,32492.0,600519
19,2015-01-30,-61.25,-61.078,-57.605,-61.696,47508.0,600519
20,2015-02-02,-62.596,-63.223,-61.787,-64.423,33983.0,600519
21,2015-02-03,-60.805,-59.996,-59.741,-61.969,27792.0,600519
22,2015-02-04,-59.287,-61.014,-56.623,-61.241,35293.0,600519
23,2015-02-05,-59.45,-63.923,-57.696,-63.969,41239.0,600519
24,2015-02-06,-63.387,-63.423,-61.696,-64.332,37102.0,600519
25,2015-02-09,-62.359,-54.605,-53.878,-63.059,87293.0,600519
26,2015-02-10,-54.15,-55.896,-53.787,-57.196,53638.0,600519
27,2015-02-11,-56.332,-55.65,-54.65,-56.623,22894.0,600519
28,2015-02-12,-54.887,-55.269,-54.432,-56.687,25050.0,600519
